hex_id,north_east_neighbor,north_neighbor,north_west_neighbor,south_east_neighbor,south_neighbor,south_west_neighbor,east,north_east,north_west,south_east,south_west,west
20,73.0,,31.0,72.0,19.0,30.0,"[-73.89333315304988, 40.86487110649231]","[-73.89999982282488, 40.876418117259895]","[-73.91333316237488, 40.876418117259895]","[-73.89999982282488, 40.85332409572472]","[-73.91333316237488, 40.85332409572472]","[-73.91999983214988, 40.86487110649231]"
21,42.0,22.0,33.0,41.0,,32.0,"[-74.13333326494995, 40.541554804999855]","[-74.13999993472495, 40.55310181576744]","[-74.15333327427496, 40.55310181576744]","[-74.13999993472495, 40.53000779423227]","[-74.15333327427496, 40.53000779423227]","[-74.15999994404996, 40.541554804999855]"
22,43.0,23.0,34.0,42.0,21.0,33.0,"[-74.13333326494995, 40.564648826535034]","[-74.13999993472495, 40.57619583730262]","[-74.15333327427496, 40.57619583730262]","[-74.13999993472495, 40.55310181576744]","[-74.15333327427496, 40.55310181576744]","[-74.15999994404996, 40.564648826535034]"
23,44.0,57.0,35.0,43.0,22.0,34.0,"[-74.13333326494995, 40.58774284807021]","[-74.13999993472495, 40.59928985883779]","[-74.15333327427496, 40.59928985883779]","[-74.13999993472495, 40.57619583730262]","[-74.15333327427496, 40.57619583730262]","[-74.15999994404996, 40.58774284807021]"
24,14.0,25.0,6.0,13.0,243.0,5.0,"[-73.91333316237488, 40.71475996651367]","[-73.91999983214988, 40.726306977281254]","[-73.93333317169989, 40.726306977281254]","[-73.91999983214988, 40.70321295574608]","[-73.93333317169989, 40.70321295574608]","[-73.93999984147489, 40.71475996651367]"
25,15.0,26.0,7.0,14.0,24.0,6.0,"[-73.91333316237488, 40.73785398804885]","[-73.91999983214988, 40.749400998816434]","[-73.93333317169989, 40.749400998816434]","[-73.91999983214988, 40.726306977281254]","[-73.93333317169989, 40.726306977281254]","[-73.93999984147489, 40.73785398804885]"
26,16.0,27.0,8.0,15.0,25.0,7.0,"[-73.91333316237488, 40.76094800958402]","[-73.91999983214988, 40.772495020351606]","[-73.93333317169989, 40.772495020351606]","[-73.91999983214988, 40.749400998816434]","[-73.93333317169989, 40.749400998816434]","[-73.93999984147489, 40.76094800958402]"
27,17.0,28.0,227.0,16.0,26.0,8.0,"[-73.91333316237488, 40.78404203111919]","[-73.91999983214988, 40.795589041886785]","[-73.93333317169989, 40.795589041886785]","[-73.91999983214988, 40.772495020351606]","[-73.93333317169989, 40.772495020351606]","[-73.93999984147489, 40.78404203111919]"
28,18.0,29.0,228.0,17.0,27.0,227.0,"[-73.91333316237488, 40.80713605265437]","[-73.91999983214988, 40.81868306342196]","[-73.93333317169989, 40.81868306342196]","[-73.91999983214988, 40.795589041886785]","[-73.93333317169989, 40.795589041886785]","[-73.93999984147489, 40.80713605265437]"
29,19.0,30.0,229.0,18.0,28.0,228.0,"[-73.91333316237488, 40.830230074189544]","[-73.91999983214988, 40.84177708495713]","[-73.93333317169989, 40.84177708495713]","[-73.91999983214988, 40.81868306342196]","[-73.93333317169989, 40.81868306342196]","[-73.93999984147489, 40.830230074189544]"
30,20.0,31.0,230.0,19.0,29.0,229.0,"[-73.91333316237488, 40.85332409572472]","[-73.91999983214988, 40.86487110649231]","[-73.93333317169989, 40.86487110649231]","[-73.91999983214988, 40.84177708495713]","[-73.93333317169989, 40.84177708495713]","[-73.93999984147489, 40.85332409572472]"
31,,,,20.0,30.0,230.0,"[-73.91333316237488, 40.876418117259895]","[-73.91999983214988, 40.88796512802748]","[-73.93333317169989, 40.88796512802748]","[-73.91999983214988, 40.86487110649231]","[-73.93333317169989, 40.86487110649231]","[-73.93999984147489, 40.876418117259895]"
32,21.0,33.0,232.0,,,231.0,"[-74.15333327427496, 40.53000779423227]","[-74.15999994404996, 40.541554804999855]","[-74.17333328359997, 40.541554804999855]","[-74.15999994404996, 40.51846078346468]","[-74.17333328359997, 40.51846078346468]","[-74.17999995337497, 40.53000779423227]"
33,22.0,34.0,233.0,21.0,32.0,232.0,"[-74.15333327427496, 40.55310181576744]","[-74.15999994404996, 40.564648826535034]","[-74.17333328359997, 40.564648826535034]","[-74.15999994404996, 40.541554804999855]","[-74.17333328359997, 40.541554804999855]","[-74.17999995337497, 40.55310181576744]"
34,23.0,35.0,234.0,22.0,33.0,233.0,"[-74.15333327427496, 40.57619583730262]","[-74.15999994404996, 40.58774284807021]","[-74.17333328359997, 40.58774284807021]","[-74.15999994404996, 40.564648826535034]","[-74.17333328359997, 40.564648826535034]","[-74.17999995337497, 40.57619583730262]"
35,57.0,36.0,235.0,23.0,34.0,234.0,"[-74.15333327427496, 40.59928985883779]","[-74.15999994404996, 40.61083686960538]","[-74.17333328359997, 40.61083686960538]","[-74.15999994404996, 40.58774284807021]","[-74.17333328359997, 40.58774284807021]","[-74.17999995337497, 40.59928985883779]"
36,59.0,38.0,237.0,57.0,35.0,235.0,"[-74.15333327427496, 40.62238388037297]","[-74.15999994404996, 40.63393089114056]","[-74.17333328359997, 40.63393089114056]","[-74.15999994404996, 40.61083686960538]","[-74.17333328359997, 40.61083686960538]","[-74.17999995337497, 40.62238388037297]"
37,58.0,39.0,236.0,,,,"[-73.89333315304988, 40.541554804999855]","[-73.89999982282488, 40.55310181576744]","[-73.91333316237488, 40.55310181576744]","[-73.89999982282488, 40.53000779423227]","[-73.91333316237488, 40.53000779423227]","[-73.91999983214988, 40.541554804999855]"
38,,,,59.0,36.0,237.0,"[-74.15333327427496, 40.645477901908144]","[-74.15999994404996, 40.65702491267573]","[-74.17333328359997, 40.65702491267573]","[-74.15999994404996, 40.63393089114056]","[-74.17333328359997, 40.63393089114056]","[-74.17999995337497, 40.645477901908144]"
39,60.0,40.0,238.0,58.0,37.0,236.0,"[-73.89333315304988, 40.564648826535034]","[-73.89999982282488, 40.57619583730262]","[-73.91333316237488, 40.57619583730262]","[-73.89999982282488, 40.55310181576744]","[-73.91333316237488, 40.55310181576744]","[-73.91999983214988, 40.564648826535034]"
40,61.0,9.0,239.0,60.0,39.0,238.0,"[-73.89333315304988, 40.58774284807021]","[-73.89999982282488, 40.59928985883779]","[-73.91333316237488, 40.59928985883779]","[-73.89999982282488, 40.57619583730262]","[-73.91333316237488, 40.57619583730262]","[-73.91999983214988, 40.58774284807021]"
41,92.0,42.0,21.0,,,,"[-74.11333325562495, 40.53000779423227]","[-74.11999992539995, 40.541554804999855]","[-74.13333326494995, 40.541554804999855]","[-74.11999992539995, 40.51846078346468]","[-74.13333326494995, 40.51846078346468]","[-74.13999993472495, 40.53000779423227]"
42,93.0,43.0,22.0,92.0,41.0,21.0,"[-74.11333325562495, 40.55310181576744]","[-74.11999992539995, 40.564648826535034]","[-74.13333326494995, 40.564648826535034]","[-74.11999992539995, 40.541554804999855]","[-74.13333326494995, 40.541554804999855]","[-74.13999993472495, 40.55310181576744]"
43,94.0,44.0,23.0,93.0,42.0,22.0,"[-74.11333325562495, 40.57619583730262]","[-74.11999992539995, 40.58774284807021]","[-74.13333326494995, 40.58774284807021]","[-74.11999992539995, 40.564648826535034]","[-74.13333326494995, 40.564648826535034]","[-74.13999993472495, 40.57619583730262]"
44,95.0,45.0,57.0,94.0,43.0,23.0,"[-74.11333325562495, 40.59928985883779]","[-74.11999992539995, 40.61083686960538]","[-74.13333326494995, 40.61083686960538]","[-74.11999992539995, 40.58774284807021]","[-74.13333326494995, 40.58774284807021]","[-74.13999993472495, 40.59928985883779]"
45,96.0,46.0,59.0,95.0,44.0,57.0,"[-74.11333325562495, 40.62238388037297]","[-74.11999992539995, 40.63393089114056]","[-74.13333326494995, 40.63393089114056]","[-74.11999992539995, 40.61083686960538]","[-74.13333326494995, 40.61083686960538]","[-74.13999993472495, 40.62238388037297]"
46,98.0,,,96.0,45.0,59.0,"[-74.11333325562495, 40.645477901908144]","[-74.11999992539995, 40.65702491267573]","[-74.13333326494995, 40.65702491267573]","[-74.11999992539995, 40.63393089114056]","[-74.13333326494995, 40.63393089114056]","[-74.13999993472495, 40.645477901908144]"
47,97.0,48.0,60.0,,,58.0,"[-73.85333313439986, 40.564648826535034]","[-73.85999980417486, 40.57619583730262]","[-73.87333314372486, 40.57619583730262]","[-73.85999980417486, 40.55310181576744]","[-73.87333314372486, 40.55310181576744]","[-73.87999981349986, 40.564648826535034]"
48,99.0,49.0,61.0,97.0,47.0,60.0,"[-73.85333313439986, 40.58774284807021]","[-73.85999980417486, 40.59928985883779]","[-73.87333314372486, 40.59928985883779]","[-73.85999980417486, 40.57619583730262]","[-73.87333314372486, 40.57619583730262]","[-73.87999981349986, 40.58774284807021]"
49,100.0,50.0,62.0,99.0,48.0,61.0,"[-73.85333313439986, 40.61083686960538]","[-73.85999980417486, 40.62238388037297]","[-73.87333314372486, 40.62238388037297]","[-73.85999980417486, 40.59928985883779]","[-73.87333314372486, 40.59928985883779]","[-73.87999981349986, 40.61083686960538]"
50,101.0,51.0,63.0,100.0,49.0,62.0,"[-73.85333313439986, 40.63393089114056]","[-73.85999980417486, 40.645477901908144]","[-73.87333314372486, 40.645477901908144]","[-73.85999980417486, 40.62238388037297]","[-73.87333314372486, 40.62238388037297]","[-73.87999981349986, 40.63393089114056]"
51,102.0,52.0,64.0,101.0,50.0,63.0,"[-73.85333313439986, 40.65702491267573]","[-73.85999980417486, 40.66857192344332]","[-73.87333314372486, 40.66857192344332]","[-73.85999980417486, 40.645477901908144]","[-73.87333314372486, 40.645477901908144]","[-73.87999981349986, 40.65702491267573]"
52,103.0,53.0,65.0,102.0,51.0,64.0,"[-73.85333313439986, 40.68011893421091]","[-73.85999980417486, 40.691665944978496]","[-73.87333314372486, 40.691665944978496]","[-73.85999980417486, 40.66857192344332]","[-73.87333314372486, 40.66857192344332]","[-73.87999981349986, 40.68011893421091]"
53,74.0,54.0,66.0,103.0,52.0,65.0,"[-73.85333313439986, 40.70321295574608]","[-73.85999980417486, 40.71475996651367]","[-73.87333314372486, 40.71475996651367]","[-73.85999980417486, 40.691665944978496]","[-73.87333314372486, 40.691665944978496]","[-73.87999981349986, 40.70321295574608]"
54,75.0,55.0,67.0,74.0,53.0,66.0,"[-73.85333313439986, 40.726306977281254]","[-73.85999980417486, 40.73785398804885]","[-73.87333314372486, 40.73785398804885]","[-73.85999980417486, 40.71475996651367]","[-73.87333314372486, 40.71475996651367]","[-73.87999981349986, 40.726306977281254]"
55,76.0,56.0,68.0,75.0,54.0,67.0,"[-73.85333313439986, 40.749400998816434]","[-73.85999980417486, 40.76094800958402]","[-73.87333314372486, 40.76094800958402]","[-73.85999980417486, 40.73785398804885]","[-73.87333314372486, 40.73785398804885]","[-73.87999981349986, 40.749400998816434]"
56,77.0,88.0,69.0,76.0,55.0,68.0,"[-73.85333313439986, 40.772495020351606]","[-73.85999980417486, 40.78404203111919]","[-73.87333314372486, 40.78404203111919]","[-73.85999980417486, 40.76094800958402]","[-73.87333314372486, 40.76094800958402]","[-73.87999981349986, 40.772495020351606]"
57,45.0,59.0,36.0,44.0,23.0,35.0,"[-74.13333326494995, 40.61083686960538]","[-74.13999993472495, 40.62238388037297]","[-74.15333327427496, 40.62238388037297]","[-74.13999993472495, 40.59928985883779]","[-74.15333327427496, 40.59928985883779]","[-74.15999994404996, 40.61083686960538]"
58,47.0,60.0,39.0,,,37.0,"[-73.87333314372486, 40.55310181576744]","[-73.87999981349986, 40.564648826535034]","[-73.89333315304988, 40.564648826535034]","[-73.87999981349986, 40.541554804999855]","[-73.89333315304988, 40.541554804999855]","[-73.89999982282488, 40.55310181576744]"
59,46.0,,38.0,45.0,57.0,36.0,"[-74.13333326494995, 40.63393089114056]","[-74.13999993472495, 40.645477901908144]","[-74.15333327427496, 40.645477901908144]","[-74.13999993472495, 40.62238388037297]","[-74.15333327427496, 40.62238388037297]","[-74.15999994404996, 40.63393089114056]"
60,48.0,61.0,40.0,47.0,58.0,39.0,"[-73.87333314372486, 40.57619583730262]","[-73.87999981349986, 40.58774284807021]","[-73.89333315304988, 40.58774284807021]","[-73.87999981349986, 40.564648826535034]","[-73.89333315304988, 40.564648826535034]","[-73.89999982282488, 40.57619583730262]"
61,49.0,62.0,9.0,48.0,60.0,40.0,"[-73.87333314372486, 40.59928985883779]","[-73.87999981349986, 40.61083686960538]","[-73.89333315304988, 40.61083686960538]","[-73.87999981349986, 40.58774284807021]","[-73.89333315304988, 40.58774284807021]","[-73.89999982282488, 40.59928985883779]"
62,50.0,63.0,10.0,49.0,61.0,9.0,"[-73.87333314372486, 40.62238388037297]","[-73.87999981349986, 40.63393089114056]","[-73.89333315304988, 40.63393089114056]","[-73.87999981349986, 40.61083686960538]","[-73.89333315304988, 40.61083686960538]","[-73.89999982282488, 40.62238388037297]"
63,51.0,64.0,11.0,50.0,62.0,10.0,"[-73.87333314372486, 40.645477901908144]","[-73.87999981349986, 40.65702491267573]","[-73.89333315304988, 40.65702491267573]","[-73.87999981349986, 40.63393089114056]","[-73.89333315304988, 40.63393089114056]","[-73.89999982282488, 40.645477901908144]"
64,52.0,65.0,12.0,51.0,63.0,11.0,"[-73.87333314372486, 40.66857192344332]","[-73.87999981349986, 40.68011893421091]","[-73.89333315304988, 40.68011893421091]","[-73.87999981349986, 40.65702491267573]","[-73.89333315304988, 40.65702491267573]","[-73.89999982282488, 40.66857192344332]"
65,53.0,66.0,13.0,52.0,64.0,12.0,"[-73.87333314372486, 40.691665944978496]","[-73.87999981349986, 40.70321295574608]","[-73.89333315304988, 40.70321295574608]","[-73.87999981349986, 40.68011893421091]","[-73.89333315304988, 40.68011893421091]","[-73.89999982282488, 40.691665944978496]"
66,54.0,67.0,14.0,53.0,65.0,13.0,"[-73.87333314372486, 40.71475996651367]","[-73.87999981349986, 40.726306977281254]","[-73.89333315304988, 40.726306977281254]","[-73.87999981349986, 40.70321295574608]","[-73.89333315304988, 40.70321295574608]","[-73.89999982282488, 40.71475996651367]"
67,55.0,68.0,15.0,54.0,66.0,14.0,"[-73.87333314372486, 40.73785398804885]","[-73.87999981349986, 40.749400998816434]","[-73.89333315304988, 40.749400998816434]","[-73.87999981349986, 40.726306977281254]","[-73.89333315304988, 40.726306977281254]","[-73.89999982282488, 40.73785398804885]"
68,56.0,69.0,16.0,55.0,67.0,15.0,"[-73.87333314372486, 40.76094800958402]","[-73.87999981349986, 40.772495020351606]","[-73.89333315304988, 40.772495020351606]","[-73.87999981349986, 40.749400998816434]","[-73.89333315304988, 40.749400998816434]","[-73.89999982282488, 40.76094800958402]"
69,88.0,70.0,17.0,56.0,68.0,16.0,"[-73.87333314372486, 40.78404203111919]","[-73.87999981349986, 40.795589041886785]","[-73.89333315304988, 40.795589041886785]","[-73.87999981349986, 40.772495020351606]","[-73.89333315304988, 40.772495020351606]","[-73.89999982282488, 40.78404203111919]"
70,89.0,71.0,18.0,88.0,69.0,17.0,"[-73.87333314372486, 40.80713605265437]","[-73.87999981349986, 40.81868306342196]","[-73.89333315304988, 40.81868306342196]","[-73.87999981349986, 40.795589041886785]","[-73.89333315304988, 40.795589041886785]","[-73.89999982282488, 40.80713605265437]"
71,90.0,72.0,19.0,89.0,70.0,18.0,"[-73.87333314372486, 40.830230074189544]","[-73.87999981349986, 40.84177708495713]","[-73.89333315304988, 40.84177708495713]","[-73.87999981349986, 40.81868306342196]","[-73.89333315304988, 40.81868306342196]","[-73.89999982282488, 40.830230074189544]"
72,91.0,73.0,20.0,90.0,71.0,19.0,"[-73.87333314372486, 40.85332409572472]","[-73.87999981349986, 40.86487110649231]","[-73.89333315304988, 40.86487110649231]","[-73.87999981349986, 40.84177708495713]","[-73.89333315304988, 40.84177708495713]","[-73.89999982282488, 40.85332409572472]"
73,,,,91.0,72.0,20.0,"[-73.87333314372486, 40.876418117259895]","[-73.87999981349986, 40.88796512802748]","[-73.89333315304988, 40.88796512802748]","[-73.87999981349986, 40.86487110649231]","[-73.89333315304988, 40.86487110649231]","[-73.89999982282488, 40.876418117259895]"
74,126.0,75.0,54.0,125.0,103.0,53.0,"[-73.83333312507486, 40.71475996651367]","[-73.83999979484986, 40.726306977281254]","[-73.85333313439986, 40.726306977281254]","[-73.83999979484986, 40.70321295574608]","[-73.85333313439986, 40.70321295574608]","[-73.85999980417486, 40.71475996651367]"
75,127.0,76.0,55.0,126.0,74.0,54.0,"[-73.83333312507486, 40.73785398804885]","[-73.83999979484986, 40.749400998816434]","[-73.85333313439986, 40.749400998816434]","[-73.83999979484986, 40.726306977281254]","[-73.85333313439986, 40.726306977281254]","[-73.85999980417486, 40.73785398804885]"
76,128.0,77.0,56.0,127.0,75.0,55.0,"[-73.83333312507486, 40.76094800958402]","[-73.83999979484986, 40.772495020351606]","[-73.85333313439986, 40.772495020351606]","[-73.83999979484986, 40.749400998816434]","[-73.85333313439986, 40.749400998816434]","[-73.85999980417486, 40.76094800958402]"
77,129.0,78.0,88.0,128.0,76.0,56.0,"[-73.83333312507486, 40.78404203111919]","[-73.83999979484986, 40.795589041886785]","[-73.85333313439986, 40.795589041886785]","[-73.83999979484986, 40.772495020351606]","[-73.85333313439986, 40.772495020351606]","[-73.85999980417486, 40.78404203111919]"
78,130.0,79.0,89.0,129.0,77.0,88.0,"[-73.83333312507486, 40.80713605265437]","[-73.83999979484986, 40.81868306342196]","[-73.85333313439986, 40.81868306342196]","[-73.83999979484986, 40.795589041886785]","[-73.85333313439986, 40.795589041886785]","[-73.85999980417486, 40.80713605265437]"
79,131.0,80.0,90.0,130.0,78.0,89.0,"[-73.83333312507486, 40.830230074189544]","[-73.83999979484986, 40.84177708495713]","[-73.85333313439986, 40.84177708495713]","[-73.83999979484986, 40.81868306342196]","[-73.85333313439986, 40.81868306342196]","[-73.85999980417486, 40.830230074189544]"
80,132.0,81.0,91.0,131.0,79.0,90.0,"[-73.83333312507486, 40.85332409572472]","[-73.83999979484986, 40.86487110649231]","[-73.85333313439986, 40.86487110649231]","[-73.83999979484986, 40.84177708495713]","[-73.85333313439986, 40.84177708495713]","[-73.85999980417486, 40.85332409572472]"
81,,,,132.0,80.0,91.0,"[-73.83333312507486, 40.876418117259895]","[-73.83999979484986, 40.88796512802748]","[-73.85333313439986, 40.88796512802748]","[-73.83999979484986, 40.86487110649231]","[-73.85333313439986, 40.86487110649231]","[-73.85999980417486, 40.876418117259895]"
82,,83.0,93.0,,,92.0,"[-74.07333323697493, 40.55310181576744]","[-74.07999990674993, 40.564648826535034]","[-74.09333324629993, 40.564648826535034]","[-74.07999990674993, 40.541554804999855]","[-74.09333324629993, 40.541554804999855]","[-74.09999991607494, 40.55310181576744]"
83,134.0,84.0,94.0,,82.0,93.0,"[-74.07333323697493, 40.57619583730262]","[-74.07999990674993, 40.58774284807021]","[-74.09333324629993, 40.58774284807021]","[-74.07999990674993, 40.564648826535034]","[-74.09333324629993, 40.564648826535034]","[-74.09999991607494, 40.57619583730262]"
84,104.0,85.0,95.0,134.0,83.0,94.0,"[-74.07333323697493, 40.59928985883779]","[-74.07999990674993, 40.61083686960538]","[-74.09333324629993, 40.61083686960538]","[-74.07999990674993, 40.58774284807021]","[-74.09333324629993, 40.58774284807021]","[-74.09999991607494, 40.59928985883779]"
85,105.0,86.0,96.0,104.0,84.0,95.0,"[-74.07333323697493, 40.62238388037297]","[-74.07999990674993, 40.63393089114056]","[-74.09333324629993, 40.63393089114056]","[-74.07999990674993, 40.61083686960538]","[-74.09333324629993, 40.61083686960538]","[-74.09999991607494, 40.62238388037297]"
86,107.0,,98.0,105.0,85.0,96.0,"[-74.07333323697493, 40.645477901908144]","[-74.07999990674993, 40.65702491267573]","[-74.09333324629993, 40.65702491267573]","[-74.07999990674993, 40.63393089114056]","[-74.09333324629993, 40.63393089114056]","[-74.09999991607494, 40.645477901908144]"
87,108.0,121.0,99.0,106.0,,97.0,"[-73.81333311574986, 40.58774284807021]","[-73.81999978552486, 40.59928985883779]","[-73.83333312507486, 40.59928985883779]","[-73.81999978552486, 40.57619583730262]","[-73.83333312507486, 40.57619583730262]","[-73.83999979484986, 40.58774284807021]"
88,78.0,89.0,70.0,77.0,56.0,69.0,"[-73.85333313439986, 40.795589041886785]","[-73.85999980417486, 40.80713605265437]","[-73.87333314372486, 40.80713605265437]","[-73.85999980417486, 40.78404203111919]","[-73.87333314372486, 40.78404203111919]","[-73.87999981349986, 40.795589041886785]"
89,79.0,90.0,71.0,78.0,88.0,70.0,"[-73.85333313439986, 40.81868306342196]","[-73.85999980417486, 40.830230074189544]","[-73.87333314372486, 40.830230074189544]","[-73.85999980417486, 40.80713605265437]","[-73.87333314372486, 40.80713605265437]","[-73.87999981349986, 40.81868306342196]"
90,80.0,91.0,72.0,79.0,89.0,71.0,"[-73.85333313439986, 40.84177708495713]","[-73.85999980417486, 40.85332409572472]","[-73.87333314372486, 40.85332409572472]","[-73.85999980417486, 40.830230074189544]","[-73.87333314372486, 40.830230074189544]","[-73.87999981349986, 40.84177708495713]"
91,81.0,,73.0,80.0,90.0,72.0,"[-73.85333313439986, 40.86487110649231]","[-73.85999980417486, 40.876418117259895]","[-73.87333314372486, 40.876418117259895]","[-73.85999980417486, 40.85332409572472]","[-73.87333314372486, 40.85332409572472]","[-73.87999981349986, 40.86487110649231]"
92,82.0,93.0,42.0,,,41.0,"[-74.09333324629993, 40.541554804999855]","[-74.09999991607494, 40.55310181576744]","[-74.11333325562495, 40.55310181576744]","[-74.09999991607494, 40.53000779423227]","[-74.11333325562495, 40.53000779423227]","[-74.11999992539995, 40.541554804999855]"
93,83.0,94.0,43.0,82.0,92.0,42.0,"[-74.09333324629993, 40.564648826535034]","[-74.09999991607494, 40.57619583730262]","[-74.11333325562495, 40.57619583730262]","[-74.09999991607494, 40.55310181576744]","[-74.11333325562495, 40.55310181576744]","[-74.11999992539995, 40.564648826535034]"
94,84.0,95.0,44.0,83.0,93.0,43.0,"[-74.09333324629993, 40.58774284807021]","[-74.09999991607494, 40.59928985883779]","[-74.11333325562495, 40.59928985883779]","[-74.09999991607494, 40.57619583730262]","[-74.11333325562495, 40.57619583730262]","[-74.11999992539995, 40.58774284807021]"
95,85.0,96.0,45.0,84.0,94.0,44.0,"[-74.09333324629993, 40.61083686960538]","[-74.09999991607494, 40.62238388037297]","[-74.11333325562495, 40.62238388037297]","[-74.09999991607494, 40.59928985883779]","[-74.11333325562495, 40.59928985883779]","[-74.11999992539995, 40.61083686960538]"
96,86.0,98.0,46.0,85.0,95.0,45.0,"[-74.09333324629993, 40.63393089114056]","[-74.09999991607494, 40.645477901908144]","[-74.11333325562495, 40.645477901908144]","[-74.09999991607494, 40.62238388037297]","[-74.11333325562495, 40.62238388037297]","[-74.11999992539995, 40.63393089114056]"
97,87.0,99.0,48.0,,,47.0,"[-73.83333312507486, 40.57619583730262]","[-73.83999979484986, 40.58774284807021]","[-73.85333313439986, 40.58774284807021]","[-73.83999979484986, 40.564648826535034]","[-73.85333313439986, 40.564648826535034]","[-73.85999980417486, 40.57619583730262]"
98,,,,86.0,96.0,46.0,"[-74.09333324629993, 40.65702491267573]","[-74.09999991607494, 40.66857192344332]","[-74.11333325562495, 40.66857192344332]","[-74.09999991607494, 40.645477901908144]","[-74.11333325562495, 40.645477901908144]","[-74.11999992539995, 40.65702491267573]"
99,121.0,100.0,49.0,87.0,97.0,48.0,"[-73.83333312507486, 40.59928985883779]","[-73.83999979484986, 40.61083686960538]","[-73.85333313439986, 40.61083686960538]","[-73.83999979484986, 40.58774284807021]","[-73.85333313439986, 40.58774284807021]","[-73.85999980417486, 40.59928985883779]"
100,122.0,101.0,50.0,121.0,99.0,49.0,"[-73.83333312507486, 40.62238388037297]","[-73.83999979484986, 40.63393089114056]","[-73.85333313439986, 40.63393089114056]","[-73.83999979484986, 40.61083686960538]","[-73.85333313439986, 40.61083686960538]","[-73.85999980417486, 40.62238388037297]"
101,123.0,102.0,51.0,122.0,100.0,50.0,"[-73.83333312507486, 40.645477901908144]","[-73.83999979484986, 40.65702491267573]","[-73.85333313439986, 40.65702491267573]","[-73.83999979484986, 40.63393089114056]","[-73.85333313439986, 40.63393089114056]","[-73.85999980417486, 40.645477901908144]"
102,124.0,103.0,52.0,123.0,101.0,51.0,"[-73.83333312507486, 40.66857192344332]","[-73.83999979484986, 40.68011893421091]","[-73.85333313439986, 40.68011893421091]","[-73.83999979484986, 40.65702491267573]","[-73.85333313439986, 40.65702491267573]","[-73.85999980417486, 40.66857192344332]"
103,125.0,74.0,53.0,124.0,102.0,52.0,"[-73.83333312507486, 40.691665944978496]","[-73.83999979484986, 40.70321295574608]","[-73.85333313439986, 40.70321295574608]","[-73.83999979484986, 40.68011893421091]","[-73.85333313439986, 40.68011893421091]","[-73.85999980417486, 40.691665944978496]"
104,151.0,105.0,85.0,150.0,134.0,84.0,"[-74.05333322764993, 40.61083686960538]","[-74.05999989742493, 40.62238388037297]","[-74.07333323697493, 40.62238388037297]","[-74.05999989742493, 40.59928985883779]","[-74.07333323697493, 40.59928985883779]","[-74.07999990674993, 40.61083686960538]"
105,152.0,107.0,86.0,151.0,104.0,85.0,"[-74.05333322764993, 40.63393089114056]","[-74.05999989742493, 40.645477901908144]","[-74.07333323697493, 40.645477901908144]","[-74.05999989742493, 40.62238388037297]","[-74.07333323697493, 40.62238388037297]","[-74.07999990674993, 40.63393089114056]"
106,153.0,108.0,87.0,,,,"[-73.79333310642484, 40.57619583730262]","[-73.79999977619984, 40.58774284807021]","[-73.81333311574986, 40.58774284807021]","[-73.79999977619984, 40.564648826535034]","[-73.81333311574986, 40.564648826535034]","[-73.81999978552486, 40.57619583730262]"
107,,,,152.0,105.0,86.0,"[-74.05333322764993, 40.65702491267573]","[-74.05999989742493, 40.66857192344332]","[-74.07333323697493, 40.66857192344332]","[-74.05999989742493, 40.645477901908144]","[-74.07333323697493, 40.645477901908144]","[-74.07999990674993, 40.65702491267573]"
108,155.0,109.0,121.0,153.0,106.0,87.0,"[-73.79333310642484, 40.59928985883779]","[-73.79999977619984, 40.61083686960538]","[-73.81333311574986, 40.61083686960538]","[-73.79999977619984, 40.58774284807021]","[-73.81333311574986, 40.58774284807021]","[-73.81999978552486, 40.59928985883779]"
109,156.0,110.0,122.0,155.0,108.0,121.0,"[-73.79333310642484, 40.62238388037297]","[-73.79999977619984, 40.63393089114056]","[-73.81333311574986, 40.63393089114056]","[-73.79999977619984, 40.61083686960538]","[-73.81333311574986, 40.61083686960538]","[-73.81999978552486, 40.62238388037297]"
110,157.0,111.0,123.0,156.0,109.0,122.0,"[-73.79333310642484, 40.645477901908144]","[-73.79999977619984, 40.65702491267573]","[-73.81333311574986, 40.65702491267573]","[-73.79999977619984, 40.63393089114056]","[-73.81333311574986, 40.63393089114056]","[-73.81999978552486, 40.645477901908144]"
111,158.0,112.0,124.0,157.0,110.0,123.0,"[-73.79333310642484, 40.66857192344332]","[-73.79999977619984, 40.68011893421091]","[-73.81333311574986, 40.68011893421091]","[-73.79999977619984, 40.65702491267573]","[-73.81333311574986, 40.65702491267573]","[-73.81999978552486, 40.66857192344332]"
112,159.0,113.0,125.0,158.0,111.0,124.0,"[-73.79333310642484, 40.691665944978496]","[-73.79999977619984, 40.70321295574608]","[-73.81333311574986, 40.70321295574608]","[-73.79999977619984, 40.68011893421091]","[-73.81333311574986, 40.68011893421091]","[-73.81999978552486, 40.691665944978496]"
113,160.0,114.0,126.0,159.0,112.0,125.0,"[-73.79333310642484, 40.71475996651367]","[-73.79999977619984, 40.726306977281254]","[-73.81333311574986, 40.726306977281254]","[-73.79999977619984, 40.70321295574608]","[-73.81333311574986, 40.70321295574608]","[-73.81999978552486, 40.71475996651367]"
114,161.0,115.0,127.0,160.0,113.0,126.0,"[-73.79333310642484, 40.73785398804885]","[-73.79999977619984, 40.749400998816434]","[-73.81333311574986, 40.749400998816434]","[-73.79999977619984, 40.726306977281254]","[-73.81333311574986, 40.726306977281254]","[-73.81999978552486, 40.73785398804885]"
