hex_id,north_east_neighbor,north_neighbor,north_west_neighbor,south_east_neighbor,south_neighbor,south_west_neighbor,east,north_east,north_west,south_east,south_west,west
200,8.0,201.0,218.0,7.0,199.0,216.0,"[-73.9533331810249, 40.76094800958402]","[-73.9599998507999, 40.772495020351606]","[-73.9733331903499, 40.772495020351606]","[-73.9599998507999, 40.749400998816434]","[-73.9733331903499, 40.749400998816434]","[-73.9799998601249, 40.76094800958402]"
201,227.0,202.0,220.0,8.0,200.0,218.0,"[-73.9533331810249, 40.78404203111919]","[-73.9599998507999, 40.795589041886785]","[-73.9733331903499, 40.795589041886785]","[-73.9599998507999, 40.772495020351606]","[-73.9733331903499, 40.772495020351606]","[-73.9799998601249, 40.78404203111919]"
202,228.0,204.0,,227.0,201.0,220.0,"[-73.9533331810249, 40.80713605265437]","[-73.9599998507999, 40.81868306342196]","[-73.9733331903499, 40.81868306342196]","[-73.9599998507999, 40.795589041886785]","[-73.9733331903499, 40.795589041886785]","[-73.9799998601249, 40.80713605265437]"
203,,205.0,221.0,,,219.0,"[-73.69333305979981, 40.726306977281254]","[-73.69999972957481, 40.73785398804885]","[-73.71333306912481, 40.73785398804885]","[-73.69999972957481, 40.71475996651367]","[-73.71333306912481, 40.71475996651367]","[-73.71999973889982, 40.726306977281254]"
204,229.0,,,228.0,202.0,,"[-73.9533331810249, 40.830230074189544]","[-73.9599998507999, 40.84177708495713]","[-73.9733331903499, 40.84177708495713]","[-73.9599998507999, 40.81868306342196]","[-73.9733331903499, 40.81868306342196]","[-73.9799998601249, 40.830230074189544]"
205,,,222.0,,203.0,221.0,"[-73.69333305979981, 40.749400998816434]","[-73.69999972957481, 40.76094800958402]","[-73.71333306912481, 40.76094800958402]","[-73.69999972957481, 40.73785398804885]","[-73.71333306912481, 40.73785398804885]","[-73.71999973889982, 40.749400998816434]"
206,194.0,208.0,187.0,193.0,178.0,186.0,"[-73.9733331903499, 40.61083686960538]","[-73.9799998601249, 40.62238388037297]","[-73.99333319967491, 40.62238388037297]","[-73.9799998601249, 40.59928985883779]","[-73.99333319967491, 40.59928985883779]","[-73.99999986944991, 40.61083686960538]"
207,231.0,244.0,224.0,,,223.0,"[-74.19333329292498, 40.5069137726971]","[-74.19999996269998, 40.51846078346468]","[-74.21333330224998, 40.51846078346468]","[-74.19999996269998, 40.4953667619295]","[-74.21333330224998, 40.4953667619295]","[-74.21999997202498, 40.5069137726971]"
208,195.0,209.0,188.0,194.0,206.0,187.0,"[-73.9733331903499, 40.63393089114056]","[-73.9799998601249, 40.645477901908144]","[-73.99333319967491, 40.645477901908144]","[-73.9799998601249, 40.62238388037297]","[-73.99333319967491, 40.62238388037297]","[-73.99999986944991, 40.63393089114056]"
209,196.0,211.0,189.0,195.0,208.0,188.0,"[-73.9733331903499, 40.65702491267573]","[-73.9799998601249, 40.66857192344332]","[-73.99333319967491, 40.66857192344332]","[-73.9799998601249, 40.645477901908144]","[-73.99333319967491, 40.645477901908144]","[-73.99999986944991, 40.65702491267573]"
210,,,163.0,,,190.0,"[-73.71333306912481, 40.59928985883779]","[-73.71999973889982, 40.61083686960538]","[-73.73333307844982, 40.61083686960538]","[-73.71999973889982, 40.58774284807021]","[-73.73333307844982, 40.58774284807021]","[-73.73999974822482, 40.59928985883779]"
